job_role,industry,education_level,location,company_type,company_size,years_experience,years_at_company,performance_rating,num_skills,certifications,projects_completed,promotions_received,overtime_hours_week,distance_from_work,monthly_hours,salary_lpa,increment_pct,promotion_prob
Finance Analyst,Startup,MBA,Kolkata,Indian Large Corp,Mid (50-500),4.5,0.6,2.9,3,0,15,2,4,10,171,17.52,12.0,0.43
Marketing Manager,Consulting,Master's,Ahmedabad,Government/PSU,Enterprise (5000+),0.1,0.1,2.6,4,2,6,1,7,1,170,17.91,4.5,0.53
Data Scientist,Healthcare,Diploma,Mumbai,Mid-size,Small (<50),2.6,0.8,2.5,5,1,7,0,5,22,165,18.54,6.4,0.32
Tech Lead,Healthcare,MBA,Remote,Indian Large Corp,Small (<50),0.5,0.5,3.9,6,1,3,0,1,44,165,29.87,10.7,0.34
Data Analyst,IT / Software,PhD,Hyderabad,MNC,Small (<50),4.5,0.5,3.8,7,3,11,2,0,83,150,31.85,9.1,0.54
DevOps Engineer,Media & Entertainment,High School,Hyderabad,Mid-size,Enterprise (5000+),4.0,0.5,4.0,2,0,16,2,6,1,147,22.34,9.7,0.41
Business Analyst,E-Commerce,MBA,Remote,Government/PSU,Enterprise (5000+),2.2,0.2,2.6,7,0,9,1,9,13,163,21.42,9.6,0.39
HR Manager,Education,Master's,Hyderabad,MNC,Small (<50),8.0,8.0,2.5,4,0,24,4,8,0,184,20.4,8.7,0.3
UI/UX Designer,Education,Bachelor's,Kolkata,Startup,Small (<50),12.4,1.1,3.6,8,1,23,4,4,31,196,16.93,11.4,0.53
Data Scientist,Education,High School,Chennai,MNC,Mid (50-500),1.3,0.1,3.8,10,1,7,0,5,87,137,19.23,9.9,0.5
Business Analyst,Media & Entertainment,Diploma,Ahmedabad,Indian Large Corp,Enterprise (5000+),15.0,10.4,4.0,6,3,28,4,4,52,204,28.48,10.8,0.5
Product Manager,Government/PSU,Bachelor's,Hyderabad,MNC,Enterprise (5000+),8.5,3.9,2.8,4,1,22,3,2,1,189,34.53,3.8,0.32
Sales Executive,IT / Software,High School,Tier-2 City,MNC,Small (<50),4.5,4.1,3.0,11,2,12,1,9,34,176,17.12,9.8,0.47
HR Manager,Education,Diploma,Ahmedabad,Startup,Mid (50-500),5.0,2.6,3.8,6,0,15,1,0,19,164,15.05,13.8,0.44
Cybersecurity Analyst,E-Commerce,High School,Kolkata,MNC,Enterprise (5000+),5.7,3.1,2.1,6,0,16,1,3,6,175,26.4,6.9,0.32
Finance Analyst,Manufacturing,Master's,Kolkata,Government/PSU,Enterprise (5000+),1.2,0.4,3.4,7,3,7,1,4,11,175,15.87,10.7,0.52
ML Engineer,Manufacturing,Diploma,Hyderabad,MNC,Small (<50),1.6,0.3,2.9,2,0,10,0,8,86,175,17.56,11.5,0.31
DevOps Engineer,IT / Software,High School,Remote,Startup,Mid (50-500),4.1,3.0,2.7,2,0,13,2,5,0,212,19.49,9.3,0.38
Senior Software Engineer,Finance & Banking,MBA,Delhi NCR,MNC,Small (<50),8.1,6.2,4.0,5,1,16,2,2,74,155,37.77,12.9,0.51
HR Manager,Finance & Banking,Master's,Remote,Indian Large Corp,Small (<50),3.4,3.4,4.5,7,0,14,1,6,11,173,24.82,10.8,0.51
Engineering Manager,Education,High School,Remote,Government/PSU,Large (500-5000),4.5,1.5,4.3,5,0,16,3,10,5,150,28.84,12.0,0.58
Finance Analyst,Consulting,Diploma,Hyderabad,Mid-size,Enterprise (5000+),17.5,4.0,2.2,2,1,33,5,3,12,183,28.77,9.0,0.28
ML Engineer,Manufacturing,PhD,Ahmedabad,Mid-size,Small (<50),1.2,1.2,3.1,4,0,9,1,2,40,195,12.79,12.9,0.47
Software Engineer,Startup,Master's,Remote,MNC,Small (<50),0.8,0.8,2.6,5,1,13,0,7,21,182,17.37,8.4,0.31
Sales Executive,Media & Entertainment,Diploma,Pune,Indian Large Corp,Large (500-5000),10.2,3.6,3.5,9,1,19,2,10,11,163,20.2,13.2,0.52
Data Analyst,Consulting,Diploma,Pune,Indian Large Corp,Enterprise (5000+),4.8,0.7,1.7,4,0,16,1,2,20,170,19.23,6.0,0.27
Sales Executive,Manufacturing,PhD,Remote,Government/PSU,Small (<50),0.5,0.5,2.1,5,2,7,0,4,65,203,10.8,6.4,0.25
Sales Executive,Finance & Banking,Bachelor's,Delhi NCR,Mid-size,Small (<50),5.0,2.7,3.4,6,2,15,1,7,26,168,18.52,12.3,0.49
Data Scientist,Media & Entertainment,PhD,Delhi NCR,Mid-size,Large (500-5000),4.0,0.3,2.9,6,1,13,2,0,4,153,26.5,8.4,0.42
Engineering Manager,Consulting,Diploma,Hyderabad,Mid-size,Enterprise (5000+),3.7,1.8,3.5,8,2,12,1,0,8,197,46.73,9.1,0.45
Finance Analyst,Finance & Banking,High School,Kolkata,Mid-size,Small (<50),24.5,1.8,3.4,6,3,43,7,8,14,175,27.43,10.6,0.42
Software Engineer,E-Commerce,Bachelor's,Pune,Indian Large Corp,Enterprise (5000+),2.4,1.5,3.7,3,0,15,0,7,9,186,24.94,8.5,0.31
Sales Executive,Education,PhD,Tier-2 City,MNC,Small (<50),3.5,0.5,2.6,5,0,12,0,4,7,182,11.07,8.5,0.25
Data Analyst,E-Commerce,PhD,Tier-2 City,MNC,Large (500-5000),28.6,2.0,3.6,5,2,48,7,9,6,165,45.04,8.8,0.43
Tech Lead,E-Commerce,MBA,Kolkata,Indian Large Corp,Small (<50),0.1,0.1,2.6,5,0,13,0,4,46,219,22.06,9.6,0.31
Marketing Manager,IT / Software,Bachelor's,Chennai,Indian Large Corp,Mid (50-500),5.1,5.1,2.9,6,0,10,2,5,8,156,20.25,10.3,0.47
Data Scientist,Media & Entertainment,Bachelor's,Kolkata,Government/PSU,Mid (50-500),1.0,0.1,4.1,2,0,11,2,7,32,205,16.12,13.4,0.79
HR Manager,E-Commerce,Diploma,Kolkata,MNC,Mid (50-500),5.3,5.3,3.0,5,2,18,2,1,29,155,22.47,10.0,0.4
DevOps Engineer,Healthcare,Master's,Pune,Indian Large Corp,Small (<50),13.9,0.8,3.6,7,1,27,4,2,96,171,28.79,10.1,0.49
Cybersecurity Analyst,Government/PSU,High School,Hyderabad,Indian Large Corp,Enterprise (5000+),4.0,1.8,3.8,5,1,15,2,10,43,142,27.04,14.0,0.45
Cloud Architect,Healthcare,Bachelor's,Hyderabad,MNC,Mid (50-500),0.0,0.0,2.2,5,0,10,1,10,24,177,31.07,5.8,0.45
Cybersecurity Analyst,Manufacturing,Bachelor's,Mumbai,Mid-size,Large (500-5000),2.0,0.1,2.7,8,1,11,1,4,6,138,24.69,10.3,0.44
Operations Manager,Media & Entertainment,Master's,Chennai,MNC,Small (<50),9.2,0.2,3.7,4,1,22,2,2,6,183,25.13,10.0,0.36
Finance Analyst,Startup,Diploma,Pune,MNC,Small (<50),7.1,3.3,4.3,3,0,16,3,3,16,144,20.57,13.9,0.42
Engineering Manager,Consulting,Master's,Chennai,Startup,Small (<50),1.1,1.1,2.4,5,0,8,1,14,1,154,24.37,8.7,0.5
Cybersecurity Analyst,Healthcare,MBA,Pune,MNC,Enterprise (5000+),3.1,3.1,4.5,3,2,11,1,0,40,170,33.49,14.6,0.47
Software Engineer,Media & Entertainment,MBA,Hyderabad,Mid-size,Enterprise (5000+),3.9,3.9,2.6,7,0,18,0,4,4,156,23.52,11.6,0.27
Data Analyst,Consulting,PhD,Remote,Mid-size,Small (<50),0.4,0.4,3.4,7,2,5,0,5,39,179,19.84,9.0,0.45
Marketing Manager,Manufacturing,MBA,Kolkata,Mid-size,Enterprise (5000+),3.2,3.2,3.2,5,2,13,1,10,2,152,23.18,9.3,0.41
Marketing Manager,E-Commerce,MBA,Hyderabad,Startup,Enterprise (5000+),1.0,0.4,3.0,6,0,12,0,7,12,178,29.94,9.9,0.34
Product Manager,Startup,MBA,Pune,Startup,Small (<50),0.6,0.0,2.9,9,2,7,0,4,7,143,26.68,10.8,0.34
Marketing Manager,Healthcare,Bachelor's,Kolkata,Government/PSU,Large (500-5000),0.2,0.2,4.0,3,0,8,0,11,48,195,14.06,12.3,0.42
QA Engineer,Government/PSU,Master's,Hyderabad,Government/PSU,Enterprise (5000+),3.6,0.9,2.0,8,1,15,0,2,12,171,12.27,7.7,0.23
Product Manager,Finance & Banking,PhD,Pune,Government/PSU,Large (500-5000),1.6,1.6,3.4,1,0,5,1,0,14,183,23.16,9.3,0.4
Data Analyst,Manufacturing,Diploma,Hyderabad,Indian Large Corp,Mid (50-500),4.8,3.0,3.1,7,1,15,1,1,5,178,18.58,8.7,0.42
Software Engineer,Healthcare,High School,Ahmedabad,Government/PSU,Small (<50),2.4,2.4,1.8,4,0,9,2,2,18,183,9.12,6.6,0.34
QA Engineer,Startup,Master's,Hyderabad,Startup,Enterprise (5000+),0.8,0.8,3.3,4,0,14,2,4,11,191,19.53,12.2,0.65
Cybersecurity Analyst,E-Commerce,Diploma,Bangalore,MNC,Enterprise (5000+),6.1,1.6,2.6,3,1,14,1,10,22,143,39.74,11.3,0.27
HR Manager,Media & Entertainment,Diploma,Ahmedabad,MNC,Mid (50-500),0.8,0.8,3.0,4,0,6,0,4,62,189,13.27,11.3,0.33
Data Scientist,E-Commerce,Master's,Ahmedabad,Government/PSU,Large (500-5000),20.7,0.9,2.2,4,2,36,7,0,16,195,26.15,7.2,0.25
QA Engineer,Media & Entertainment,MBA,Kolkata,Government/PSU,Enterprise (5000+),4.9,4.7,1.5,7,0,17,1,3,41,183,13.32,7.4,0.27
Product Manager,Government/PSU,PhD,Ahmedabad,Mid-size,Mid (50-500),4.4,4.4,2.3,5,3,16,1,1,14,189,20.28,7.7,0.29
Finance Analyst,Government/PSU,MBA,Hyderabad,Mid-size,Enterprise (5000+),5.8,0.0,4.0,3,1,14,2,9,35,163,23.0,13.2,0.48
Data Analyst,Manufacturing,PhD,Hyderabad,Mid-size,Large (500-5000),5.4,5.4,3.7,4,1,13,2,6,7,176,22.87,12.2,0.48
DevOps Engineer,Finance & Banking,MBA,Delhi NCR,Indian Large Corp,Mid (50-500),0.3,0.3,3.2,4,2,9,0,2,17,163,24.97,8.3,0.36
Cybersecurity Analyst,E-Commerce,PhD,Hyderabad,MNC,Enterprise (5000+),6.3,2.1,3.6,5,1,14,1,7,6,169,44.89,12.2,0.36
UI/UX Designer,Media & Entertainment,Bachelor's,Ahmedabad,Startup,Small (<50),1.9,0.5,3.1,8,1,7,1,1,21,177,15.86,8.8,0.47
Business Analyst,Education,Master's,Remote,MNC,Enterprise (5000+),7.6,3.4,3.0,6,1,20,2,5,6,183,25.24,8.2,0.45
Fresher / Junior Dev,Consulting,High School,Pune,Startup,Enterprise (5000+),5.2,0.1,4.4,5,0,12,1,1,10,124,17.81,16.6,0.51
Sales Executive,Media & Entertainment,PhD,Remote,Indian Large Corp,Enterprise (5000+),0.0,0.0,3.7,8,0,5,1,4,8,195,19.9,12.3,0.66
HR Manager,Education,Bachelor's,Ahmedabad,MNC,Enterprise (5000+),3.1,1.4,2.2,2,0,14,0,1,4,182,13.48,8.1,0.28
DevOps Engineer,Education,PhD,Delhi NCR,Startup,Mid (50-500),0.8,0.8,3.6,6,2,3,0,9,2,176,24.41,11.0,0.31
Engineering Manager,IT / Software,MBA,Kolkata,Government/PSU,Small (<50),5.7,5.7,3.2,5,0,17,3,3,24,176,27.9,9.4,0.36
Data Analyst,Education,PhD,Delhi NCR,Startup,Mid (50-500),4.5,0.0,3.4,10,1,13,1,2,52,188,21.59,9.5,0.43
Senior Software Engineer,Education,Bachelor's,Chennai,Indian Large Corp,Enterprise (5000+),9.4,1.5,3.0,2,1,21,3,6,50,178,32.75,11.3,0.31
DevOps Engineer,Education,Bachelor's,Pune,Startup,Large (500-5000),1.4,1.4,1.9,5,1,4,0,8,60,145,20.99,7.6,0.37
Data Analyst,IT / Software,Master's,Tier-2 City,MNC,Large (500-5000),7.1,7.1,2.7,8,1,14,2,0,10,184,26.65,10.6,0.35
HR Manager,Finance & Banking,PhD,Bangalore,MNC,Mid (50-500),7.4,1.6,2.6,5,0,12,2,6,1,154,28.02,9.5,0.29
Business Analyst,Startup,High School,Delhi NCR,Indian Large Corp,Mid (50-500),6.8,6.8,3.1,5,1,21,1,9,6,144,19.93,11.2,0.4
Fresher / Junior Dev,Finance & Banking,PhD,Remote,Indian Large Corp,Enterprise (5000+),0.5,0.1,4.7,11,1,13,1,17,0,145,27.93,15.1,0.79
Finance Analyst,E-Commerce,Bachelor's,Remote,Government/PSU,Small (<50),4.0,3.4,4.6,6,1,16,1,5,15,155,14.87,15.4,0.44
Product Manager,Finance & Banking,Bachelor's,Remote,MNC,Large (500-5000),2.0,2.0,2.9,3,1,11,0,11,6,165,26.7,7.3,0.29
Tech Lead,Education,PhD,Kolkata,Indian Large Corp,Small (<50),17.6,9.1,3.1,6,0,33,4,1,1,209,36.2,7.8,0.43
Tech Lead,Healthcare,PhD,Mumbai,Mid-size,Small (<50),0.1,0.1,4.1,7,0,8,0,9,11,173,29.97,11.7,0.47
Tech Lead,Consulting,High School,Tier-2 City,Startup,Large (500-5000),5.6,0.7,3.3,5,1,14,2,4,26,162,27.06,12.8,0.4
Data Analyst,Consulting,MBA,Bangalore,Startup,Enterprise (5000+),4.7,1.7,2.9,10,1,19,1,5,20,165,35.63,8.7,0.44
Data Scientist,Consulting,Master's,Ahmedabad,Indian Large Corp,Enterprise (5000+),1.8,1.8,2.8,5,1,5,1,5,33,162,25.11,7.5,0.36
Product Manager,Media & Entertainment,PhD,Pune,Government/PSU,Enterprise (5000+),1.4,1.4,5.0,8,0,14,1,9,3,156,29.37,12.9,0.71
QA Engineer,Startup,Master's,Pune,Mid-size,Mid (50-500),0.6,0.6,4.0,3,0,5,1,8,5,173,15.06,10.9,0.54
Data Analyst,Government/PSU,Bachelor's,Hyderabad,Startup,Enterprise (5000+),16.1,3.5,4.0,6,1,31,4,13,9,173,33.7,8.0,0.48
DevOps Engineer,Government/PSU,High School,Chennai,Indian Large Corp,Enterprise (5000+),0.1,0.1,5.0,4,2,10,1,0,46,170,23.23,15.2,0.67
Business Analyst,Manufacturing,Bachelor's,Chennai,Mid-size,Large (500-5000),0.3,0.3,2.9,7,0,7,1,5,13,181,18.98,11.3,0.57
Sales Executive,Media & Entertainment,High School,Hyderabad,MNC,Mid (50-500),7.0,1.1,3.4,5,0,23,1,10,4,193,16.48,8.4,0.39
UI/UX Designer,Media & Entertainment,Master's,Hyderabad,Startup,Enterprise (5000+),0.4,0.3,2.7,8,0,10,1,11,9,166,24.0,8.3,0.57
QA Engineer,Finance & Banking,High School,Pune,Indian Large Corp,Enterprise (5000+),4.1,1.6,3.4,9,1,14,1,3,0,200,22.48,7.8,0.5
HR Manager,Startup,Bachelor's,Chennai,Startup,Large (500-5000),5.3,5.3,3.7,4,1,21,3,10,20,188,26.23,10.4,0.48
UI/UX Designer,Media & Entertainment,PhD,Chennai,Mid-size,Enterprise (5000+),3.0,0.1,4.1,6,1,12,1,9,18,192,26.25,10.8,0.65
Finance Analyst,Manufacturing,Bachelor's,Hyderabad,MNC,Mid (50-500),2.6,1.0,3.5,6,0,13,1,0,100,181,21.89,12.5,0.45
DevOps Engineer,Media & Entertainment,High School,Delhi NCR,Indian Large Corp,Mid (50-500),0.3,0.3,2.9,7,0,5,1,4,68,141,16.81,8.3,0.6
Fresher / Junior Dev,Startup,Bachelor's,Tier-2 City,Government/PSU,Large (500-5000),1.8,1.1,3.0,4,0,8,1,3,32,180,7.66,7.8,0.42
Data Scientist,Manufacturing,Diploma,Hyderabad,Mid-size,Mid (50-500),4.9,2.0,3.2,3,1,20,2,0,13,200,20.52,11.4,0.37
Marketing Manager,Media & Entertainment,High School,Delhi NCR,Mid-size,Small (<50),2.6,0.6,2.9,4,0,12,0,0,4,184,12.06,9.8,0.29
Senior Software Engineer,Manufacturing,MBA,Delhi NCR,Startup,Small (<50),17.5,6.1,2.5,4,3,32,5,5,19,163,41.56,5.1,0.29
Software Engineer,Manufacturing,MBA,Ahmedabad,Startup,Enterprise (5000+),0.5,0.5,3.9,2,0,11,0,4,0,164,18.13,15.4,0.36
DevOps Engineer,IT / Software,Diploma,Pune,Startup,Small (<50),12.1,3.9,3.7,2,1,23,3,20,18,159,26.46,13.1,0.35
Data Analyst,Government/PSU,Master's,Mumbai,Government/PSU,Small (<50),2.5,2.5,2.9,7,0,12,1,6,7,182,13.29,7.8,0.38
ML Engineer,Startup,Diploma,Pune,MNC,Mid (50-500),16.5,0.5,3.9,4,1,31,5,10,3,174,42.43,9.3,0.44
Data Scientist,Education,MBA,Remote,Government/PSU,Mid (50-500),3.2,0.6,4.1,6,0,14,0,8,11,180,17.91,12.2,0.34
Operations Manager,Government/PSU,Master's,Ahmedabad,Mid-size,Enterprise (5000+),1.8,1.8,2.3,3,1,11,1,12,2,153,17.92,10.0,0.38
Marketing Manager,Startup,MBA,Bangalore,Government/PSU,Small (<50),0.2,0.2,3.6,2,1,8,0,13,5,147,14.83,8.2,0.37
Business Analyst,Healthcare,PhD,Pune,MNC,Mid (50-500),8.7,8.1,3.2,5,0,24,3,10,15,175,28.58,8.3,0.39
HR Manager,Media & Entertainment,Diploma,Mumbai,Indian Large Corp,Small (<50),5.3,1.3,3.3,4,3,15,1,6,22,164,19.61,8.4,0.35
UI/UX Designer,Startup,Master's,Ahmedabad,Mid-size,Small (<50),0.9,0.9,2.5,7,4,13,0,3,37,223,11.43,9.3,0.23
HR Manager,Manufacturing,Bachelor's,Ahmedabad,MNC,Mid (50-500),2.0,2.0,3.2,8,1,11,0,6,3,169,16.56,10.6,0.4
Finance Analyst,Startup,PhD,Hyderabad,Startup,Small (<50),0.4,0.4,2.7,1,2,5,2,4,10,137,20.63,8.9,0.61
Sales Executive,E-Commerce,Diploma,Pune,Indian Large Corp,Small (<50),0.1,0.1,2.8,3,2,9,1,9,53,173,12.5,10.3,0.46
Senior Software Engineer,Manufacturing,Diploma,Remote,Government/PSU,Large (500-5000),0.4,0.4,3.8,3,0,7,0,1,10,168,16.87,11.4,0.33
QA Engineer,Government/PSU,High School,Pune,Startup,Large (500-5000),6.0,6.0,3.7,5,1,19,1,0,89,193,19.71,10.6,0.45
Operations Manager,Government/PSU,MBA,Ahmedabad,MNC,Small (<50),3.2,0.7,2.4,5,3,10,1,12,5,194,17.44,9.8,0.28
UI/UX Designer,Consulting,PhD,Remote,Mid-size,Small (<50),4.5,4.0,4.4,5,1,13,1,8,13,171,20.61,12.5,0.48
Data Analyst,Startup,Diploma,Remote,MNC,Large (500-5000),0.4,0.4,2.6,5,0,7,0,12,3,156,18.09,11.4,0.3
Tech Lead,E-Commerce,High School,Ahmedabad,Government/PSU,Enterprise (5000+),11.5,3.3,3.7,4,0,23,3,9,8,160,32.34,13.6,0.38
Finance Analyst,Startup,Diploma,Kolkata,Startup,Small (<50),7.6,1.1,2.7,2,3,18,1,10,3,175,16.06,10.4,0.28
Fresher / Junior Dev,Education,Bachelor's,Chennai,Mid-size,Small (<50),27.1,1.0,4.2,6,0,51,6,6,19,168,17.42,12.4,0.43
Product Manager,Education,Bachelor's,Ahmedabad,Mid-size,Enterprise (5000+),4.4,2.9,2.7,2,1,13,2,5,33,207,21.57,10.8,0.27
Sales Executive,Government/PSU,High School,Mumbai,Mid-size,Large (500-5000),3.1,0.4,3.7,4,0,14,1,1,69,164,12.28,11.4,0.32
DevOps Engineer,Education,High School,Tier-2 City,MNC,Enterprise (5000+),0.9,0.9,1.9,4,1,11,0,2,2,153,13.07,5.5,0.25
UI/UX Designer,Healthcare,High School,Tier-2 City,Mid-size,Enterprise (5000+),0.3,0.3,4.8,6,2,5,1,9,17,221,16.37,14.7,0.71
QA Engineer,Healthcare,High School,Pune,Government/PSU,Mid (50-500),1.6,0.4,3.7,2,1,11,0,1,20,164,10.35,12.5,0.34
Marketing Manager,Government/PSU,Master's,Mumbai,MNC,Mid (50-500),2.4,2.4,3.1,5,2,14,1,0,14,189,21.32,9.6,0.37
Product Manager,Media & Entertainment,Bachelor's,Bangalore,Government/PSU,Enterprise (5000+),0.9,0.9,2.9,3,1,6,1,2,42,186,22.79,12.4,0.51
Data Analyst,Finance & Banking,Diploma,Ahmedabad,MNC,Mid (50-500),0.2,0.2,3.0,3,1,8,1,4,10,123,15.81,9.7,0.52
Fresher / Junior Dev,Manufacturing,PhD,Tier-2 City,Mid-size,Enterprise (5000+),6.5,1.5,2.7,3,2,19,1,0,76,186,13.99,10.6,0.25
Fresher / Junior Dev,Healthcare,Master's,Ahmedabad,Government/PSU,Mid (50-500),2.7,2.7,4.1,5,1,11,1,6,47,203,10.72,8.3,0.46
Cybersecurity Analyst,Startup,Diploma,Tier-2 City,Indian Large Corp,Small (<50),2.2,1.6,4.3,5,1,14,1,12,14,139,15.84,13.7,0.52
Finance Analyst,Consulting,Master's,Tier-2 City,Mid-size,Small (<50),1.0,1.0,2.7,6,0,13,1,4,17,214,10.8,8.9,0.45
Marketing Manager,Manufacturing,PhD,Remote,Government/PSU,Enterprise (5000+),1.2,1.2,2.8,2,2,8,2,0,25,188,18.36,8.6,0.61
ML Engineer,Media & Entertainment,Master's,Ahmedabad,Mid-size,Large (500-5000),1.2,1.2,4.7,5,0,14,0,5,11,201,22.69,13.0,0.39
Sales Executive,Education,MBA,Ahmedabad,Mid-size,Mid (50-500),1.6,1.6,3.7,8,0,6,1,2,7,164,12.81,11.7,0.56
HR Manager,Education,MBA,Hyderabad,Startup,Small (<50),5.7,0.6,3.3,4,2,21,1,0,25,199,18.42,8.6,0.35
DevOps Engineer,Government/PSU,PhD,Kolkata,Startup,Mid (50-500),9.1,0.9,2.4,8,3,22,4,5,7,165,27.63,8.6,0.42
Fresher / Junior Dev,E-Commerce,High School,Tier-2 City,Government/PSU,Large (500-5000),2.3,1.8,2.3,6,1,12,0,0,27,135,7.52,8.9,0.28
Data Scientist,Finance & Banking,Master's,Tier-2 City,Startup,Small (<50),2.1,2.1,2.3,1,3,8,0,3,9,205,18.68,7.6,0.18
ML Engineer,E-Commerce,Master's,Mumbai,Startup,Large (500-5000),8.1,1.5,2.8,5,1,23,2,0,34,196,39.09,7.8,0.32
DevOps Engineer,Education,MBA,Mumbai,Mid-size,Enterprise (5000+),0.4,0.4,3.5,6,0,5,1,0,2,158,22.74,11.5,0.56
DevOps Engineer,Government/PSU,PhD,Tier-2 City,MNC,Small (<50),3.9,3.5,3.7,3,3,13,0,3,7,204,18.11,12.4,0.41
HR Manager,Manufacturing,PhD,Hyderabad,MNC,Enterprise (5000+),0.8,0.8,2.7,3,0,8,0,5,79,202,23.23,10.5,0.19
Data Scientist,Finance & Banking,PhD,Ahmedabad,Indian Large Corp,Large (500-5000),1.1,1.1,4.1,3,1,7,1,6,18,156,29.13,11.5,0.59
Software Engineer,Consulting,High School,Bangalore,Mid-size,Large (500-5000),3.2,0.5,2.9,5,1,8,0,6,1,154,18.86,10.0,0.3
Cloud Architect,E-Commerce,Master's,Hyderabad,Government/PSU,Enterprise (5000+),0.9,0.8,3.5,5,1,10,1,11,50,139,27.43,10.7,0.59
Tech Lead,E-Commerce,PhD,Delhi NCR,Indian Large Corp,Small (<50),3.4,0.6,3.8,7,3,14,1,3,15,162,36.37,11.3,0.56
